programTitle,abstract,exportPhrase,topics,publicPOCEmail,contactName,officeName,phone,description,website
International Intellectual Property Rights Assistance,"The Office of Intellectual Property Rights (OIPR) of the U.S. Department of Commerce International Trade Administration works with U.S. firms to help them protect their intellectual property abroad. Commerce experts can suggest strategies to evaluate IPR problems encountered abroad and will work with U.S. Embassies around the world to pursue a course of action for resolution of the problems. In many cases, OIPR can provide companies with information to aid in navigating a foreign government's legal system. \n\n\n\nThe Office of Intellectual Property Rights (OIPR) provides counseling, special programs and tools to help U.S. companies to protect their intellectual property (such as patents or trademarks or copyrights) abroad. In addition, the OIPR supports the protection of intellectual property rights (IPR) in U.S. trade negotiations. The OIPR helps companies overcome problems they face protecting and enforcing their intellectual property rights overseas. The office develops trade programs and tools to help U.S. businesses and citizens protect and enforce their IPR in foreign markets. The OIPR also coordinates activities relating to IPR trade policy, and conducts outreach to raise awareness. OIPR works with Commerce Department country specialists, industry analyst Commerce Department Intellectual Property attaches, the U.S. Patent and Trademark Office, the U.S. Office of Trade Representative, the Copyright Office, the State Department, the Department of Homeland Security, the Justice Department, industry and other private sector stakeholder advisors.",,"Counseling, Sales, Training or Mentoring",http://www.iprightsoffice.org/contact_us/,Office of Intellectual Property Rights ,,866-999-4258,The Office of Intellectual Property Rights (OIPR)provides assistance to help U.S. companies protect their intellectual property rights abroad.,http://www.stopfakes.gov/sf_how.asp
International Trade Advocacy,"The U.S. Commercial Service Trade Advocacy includes the following types of assistance: government-to-government support in promotion of U.S. exports and employment, countering foreign government advocacy and political pressure, encouraging transparency and fairness in the tender processes, leveraging partner U.S government agencies in the Trade Promotion Coordinating Committee. The goal is to ensure that international contract awards are based on a full and fair evaluation of the commercial and technical merits of all offers. Follow this link for contact information: http://export.gov/usoffices/index.asp",,"Connect to foreign buyers, Counseling, Marketing, Regulations, Sales",tic@trade.gov,Trade Information center,International Trade Administration (ITA),(800) 872-8723,The U.S. Commercial Service provides International Trade Advocacy to level the global playing field for U.S. companies pursuing contracts with foreign governments.,http://export.gov/advocacy/eg_main_022745.asp
International Trade Missions,"The International Trade Administration Trade Missions Program offers a proven, cost-effective tool for helping U.S. companies learn first-hand about global markets. The Trade Missions Program recruits U.S. companies whose goal is to export their products and services.Â  These U.S. companies travel together as a delegation on a trade mission where they attend market briefings, participate in site visits and networking receptions, and have one-on-one business matchmaking appointments with pre-screened potential buyers, agents, distributors, and joint venture partners.Â  ITA Trade Missions gain the attention of local/national government representatives, business leaders and media in international markets. Trade Missions help U.S. companies open markets, leverage opportunities in strategic industries and expand U.S. trade relationships with traditional trading partners, as well as in promising emerging global markets. Follow this link for contact information: http://www.trade.gov/cs/states/csinyourstate.asp\n\n",,"Connect to foreign buyers, Counseling",tic@trade.gov,Trade Information Center ,International Trade Administration (ITA),(800) 872-8723,"The Trade Missions Program helps U.S. companies learn first-hand about overseas markets by attending market briefings, visiting sales channels, and meeting face to face with qualified potential buyers, agents, distributors, and other business partners.\n\n",http://export.gov/trademissions/
International Trade Remedy Compliance Assistance,"International Trade Remedy Compliance staff provide assistance to U.S. businesses that feel that their export markets are jeopardized by the improper application of trade remedy measures by foreign governments. The TRC staff monitor and analyze the global use of trade remedy measures (e.g., substantial foreign duties imposed on U.S. exports); alert U.S. industry of pending foreign trade remedy actions; evaluate foreign countries trade remedy laws, policies, and practices for consistency with World Trade Organization rules; and, maintain an extensive network of trade remedy contacts with U.S. businesses, industry associations, and foreign governments. Follow this link for contact information: http://ia.ita.doc.gov/ftzpage/grantee/staff.html",,"Connect to foreign buyers, Counseling, Marketing, Regulations, Sales, Training or Mentoring",trcs@trade.gov,,International Trade Administration (ITA),202-482-3415,International Trade Remedy Compliance staff provide assistance to U.S. businesses that feel that their export markets are jeopardized by the improper application of trade remedy measures by foreign governments.,http://ia.ita.doc.gov/trcs/
SelectUSA,"SelectUSA is a government-wide initiative that works to encourage, facilitate, and accelerate business investments in the United States by presenting opportunities and incentives found in the United States. SelectUSA reaches out to foreign and domestic investors, supports state governments' investment promotion efforts, and addresses business climate concerns of both domestic and international investors. To aid foreign and domestic business investors, SelectUSA serves as a single point of entry for investment in the United States. Additionally, SelectUSA provides information about federal programs and services that are available to investors as well as businesses already located in the United States. In its ombudsman role, SelectUSA can also aid businesses in addressing regulatory questions or concerns that firms may face when trying to invest in the United States. ",,"Financing, Marketing",info@selectusa.gov,,,202-482-6800,SelectUSA works to promote the United States as a prime location for business investment.,http://www.selectusa.gov/
Subsidies Enforcement Assistance,"The Subsidies Enforcement Office (SEO) provides businesses with advocacy services, information, and counseling on foreign government subsidy practices and is responsible for coordinating multilateral subsidies enforcement efforts. A subsidy exists if (1) a financial contribution is made by a government or public body and (2) a benefit is received by a company. Trade rules permit remedies when subsidies are ""specific"" (i.e., provided to a limited number of companies, such as all exporters) and have caused adverse trade effects. The SEO monitors and evaluates foreign subsidy practices that may adversely affect U.S. companies' export efforts. The SEO provides assistance to any U.S. company that has concerns with subsidization of foreign competitors. The SEO can evaluate the subsidy in relation to U.S. and multilateral trade rules to determine what remedial action might be taken to offset the subsidy to ensure that U.S. companies are competing in a fair international trading system. As part of its monitoring efforts of subsidization of foreign competitors, the SEO has created a Subsidies Library which is available to the public via Internet at ia.ita.doc.gov/esel. Interested firms can contact Christopher Cassel at 202-482-5414 or Christopher.Cassel@mail.doc.gov . For more information about the Subsidies Enforcement Office, visit: esel.trade.gov/esel/groups/public/documents/web_resources/esel_home.hcsp. Helpful resources are below: Subsidies Enforcement Office Subsidies Library. For more information about the International Trade Administration, visit: www.trade.gov. Follow this link for contact information: http://esel.trade.gov/esel/groups/public/documents/web_resources/overviewcontent.hcsp",,"Connect to foreign buyers, Counseling, Marketing, Regulations, Sales, Training or Mentoring",seo@mail.doc.gov, Gregory W. Campbell,International Trade Administration (ITA),202-482-2239,"The Subsidies Enforcement Office (SEO) regularly responds to inquiries from, and provides counseling services to representatives of U.S. industries concerned with subsidization of foreign competitors. The SEO identifies ongoing and emerging trade threats from unfair foreign government subsidization and support through monitoring, analysis, counseling and advocacy services provided to U.S. parties. To learn more click here.",http://esel.trade.gov/esel/groups/public/documents/web_resources/esel_home.hcsp
Sustainable Manufacturing Initiative,"The Sustainable Manufacturing Initiative is a website that provides resources to help companies implement sustainable business practices that increase energy efficiency, reduce waste, and pollution and help them better manage resource and material inputs. The SMI Sustainable Business Clearinghouse is the central government portal for businesses to access federal and state-level resources that support U.S. industry's sustainability needs. Sustainable Manufacturing American Regional Tours (SMARTs) educate and inform companies across the U.S. on the benefits of implementing sustainable business practices and connect firms with federal, state and local resources to help them achieve their sustainability goals. Follow this link for contact information: http://trade.gov/contact.asp",,"Counseling, Marketing, Sales, Training or Mentoring",Sustainability@trade.gov,,International Trade Administration (ITA),,"The Sustainable Manufacturing Initiative provides information, resources, and tools to help companies implement sustainable business practices that increase energy efficiency, reduce waste and pollution and help them better manage resource and material inputs.",http://trade.gov/competitiveness/sustainablemanufacturing/index.asp
Textiles and Apparel Export Promotion Program,"The Textiles and Apparel Export Promotion Program targets small-and medium-sized export-ready firms by providing support, facilitation, and program venues for sales of U.S.-made textile and apparel products in overseas markets. The program includes export-counseling, seminars, sponsorship of trade missions, U.S.A pavilions in major international trade events, and research to identify key export opportunities in selected markets. Follow this link for contact information: Follow this link for contact information: http://www.otexa.ita.doc.gov",,"Connect to foreign buyers, Counseling, Marketing, Regulations, Sales, Training or Mentoring",OTEXA@trade.gov,,,202-482-5078,The Textiles and Apparel Export Promotion Program provides specialized assistance to businesses interesting in exporting in this industry.,http://www.otexa.ita.doc.gov
Trade Compliance Center,"The Trade Agreements Compliance Program is an international trade complaint center to help American businesses reduce barriers to international trade. Once a barrier is identified, TAC develops a strategy to address the problem, works directly with affected companies, or industries, and ensures that U.S. trade agreement rights are safeguarded and the full benefits of our trade agreements are realized by U.S. businesses. Follow this link for contact information: http://tcc.export.gov/Additional_Info/Contact_TCC/index.asp",,"Connect to foreign buyers, Counseling, Marketing, Regulations, Sales, Training or Mentoring",tcc@trade.gov,Trade Compliance Center,International Trade Administration (ITA),(202) 482-1191,The Trade Agreements Compliance program provides a  trade complaint center for businesses to obtain assistance in reducing or eliminating foreign trade barriers that obstruct their market access abroad.,http://tcc.export.gov/
Trade Information Center,"The Trade Information Center (TIC) provides export counseling to U.S. businesses and individuals by phone and via the Web. The TIC provides direct counseling to U.S. exporters and potential exporters. Also, the TIC is staffed by trade professionals with expertise in specific regions and industry sectors dedicated to working directly with U.S. companies to facilitate exports. A U.S. business may receive counseling on topics ranging from accessing foreign markets for the first time, expanding to new markets, expanding in current markets and resolving transactional problems. The TIC also: 1) Organizes and promotes trade events such as conferences, seminars, and webinars. 2) Develops information which is available on www.export.gov (i.e., duties, taxes, documentation, standards, customs procedures) and through publications. International Trade Specialists who staff the TIC have tradecraft and regional area of expertise that they apply in their work of counseling clients to be successful in their export transactions.  Follow this link for contact information:  http://export.gov/faq/eg_main_017488.asp#P76_6090\n\n","Learn, Ready, Exporting, Expand","Connect to foreign buyers, Counseling, Sales, Tariffs",tic@trade.gov,Trade Information Center,International Trade Administration (ITA),(800) 872-8723,The Trade Information Center provides export counseling to U.S. businesses and individuals by phone and via the Web.\n\n,http://www.export.gov/exportbasics/eg_main_017483.asp
U.S. Export Assistance Centers,"U.S. Export Assistance Centers (USEACs) provide front-line outreach and service operations for U.S. exporters. There are International Trade specialists based in more than 100 USEACs located across the United States and Puerto Rico. The centers assist U.S. businesses that are new to exporting, want to expand to additional export markets, or want to increase their market share in existing markets. USEACs provide trade counseling and advocacy , market intelligence and business matchmaking for U.S. businesses . In addition, USEACs help U.S. exporters develop trade finance and insurance strategies that align with the clients particular business objectives and help them complete export transactions. USEACs also connect local U.S. companies with additional international trade resources. USEACs work closely with the Small Business Administration and the US Export Import Bank to counsel clients on export finance options. There are SBA officials in 20 USEACs, and Ex-Im Bank officials at six USEACs, working in tandem with our trade specialists. USEACs also organize, recruit and execute U.S. trade missions to foreign markets, and support reverse trade missions of foreign buyers to the United States.  Follow this link for local contact information: http://export.gov/eac/index.asp.",,"Connect to foreign buyers, Counseling, Training or Mentoring",tic@trade.gov,Trade Information Center,International Trade Administration (ITA),(800) 872-8723,"U.S. Export Assistance Centers (U.S.EACs) provide front-line outreach and service operations for U.S. exporters. The centers assist U.S. businesses that are new to exporting, want to expand to additional export markets, or want to increase their market share in existing markets.",http://export.gov/
Unfair Trading Petition Counseling and Assistance,"The Petition Counseling and Analysis Unit works to ensure that all U.S. industries facing competition from unfairly traded imports are able to take advantage of the trade law remedies available to them. The staff of this unit is available to answer questions for U.S. industries relating to remedies available under the trade laws, and to assist in the development and filing of Antidumping and Countervailing Duty petitions. The PCAU helps U. industries understand the U.S. unfair trade laws dealing with dumping and unfair foreign government subsidies, and the process of filing a petition requesting the initiation of an investigation. The PCAU assists U.S. companies to understand U.S. unfair trade laws. Any counseling provided prior to official filing of a petition is held strictly confidential. Some examples of how the PCAU may be able to help U.S. companies include: Helping them understand U.S. unfair trade laws dealing with dumping and unfair foreign government subsidies, and the process of filing a petition requesting the initiation of an investigation; Providing guidance to potential petitioners to assist them in determining what types of information will be required in order to pursue action against an industry suspected of unfair trade practices; Assisting potential petitioners in ensuring their petition is in compliance with statutory initiation standards; and Providing small businesses with publicly available tariff and trade data from the Commerce Department, Treasury Department and the International Trade Commission. Follow this link for contact information: http://www.trade.gov/ia",,"Connect to foreign buyers, Counseling, Regulations, Training or Mentoring",,,,202-482-1255 or 202-482-0340,"Counselors are available to answer questions relating to unfairly traded imports, rememedies available under the trade laws, and to assist in the development and filing of Antidumping and Countervailing Duty petitions.",http://ia.ita.doc.gov/pcp/pcp-index.html
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
